weight,max_accel_g,max_airspeed,id
31414 lb,2.64,444.8,2180
35666 lb,2.44,570.4,2181
33361 lb,2.47,599.2,2191
32385 lb,--,420.8,2195
39272 lb,1.43,496.8,2198
43931 lb,2.91,572.0,2205
25318 lb,1.19,636.0,2212
32153 lb,1.23,593.6,2215
33063 lb,0.67,514.4,2216
36327 lb,2.01,419.2,2224
25688 lb,2.09,626.4,2226
25607 lb,0.6,576.0,2234
28146 lb,2.63,473.6,2240
32523 lb,1.22,428.0,2241
27765 lb,1.46,401.6,2242
39674 lb,1.47,466.4,2248
40494 lb,1.63,499.2,2250
40297 lb,2.78,463.2,2259
36431 lb,0.59,517.6,2261
44200 lb,0.63,580.8,2277
36131 lb,2.76,456.0,2285
27636 lb,0.61,516.8,2293
36305 lb,0.74,473.6,2296
44154 lb,2.11,536.8,2299
28195 lb,1.97,622.4,2300
28518 lb,--,442.4,2303
27341 lb,1.26,479.2,2309
38346 lb,1.44,556.8,2311
28300 lb,1.04,413.6,2317
29113 lb,2.33,594.4,2324
42747 lb,2.36,592.8,2328
26569 lb,0.56,601.6,2329
43438 lb,0.98,415.2,2330
34623 lb,2.45,565.6,2333
29777 lb,1.3,459.2,2340
32416 lb,2.12,591.2,2341
34142 lb,1.04,546.4,2344
44227 lb,1.39,424.0,2345
41204 lb,--,505.6,2348
32590 lb,2.87,483.2,2350
34298 lb,1.1,400.8,2355
27981 lb,0.58,522.4,2368
30097 lb,2.1,630.4,2374
41148 lb,1.09,525.6,2375
29019 lb,2.87,448.8,2377
32708 lb,1.23,456.8,2381
30171 lb,1.58,469.6,2386
38313 lb,1.06,425.6,2388
26139 lb,0.99,476.8,2403
40924 lb,2.9,423.2,2405
25385 lb,0.61,488.8,2411
43553 lb,1.91,514.4,2412
34800 lb,--,579.2,2413
30355 lb,2.88,618.4,2429
40734 lb,0.66,477.6,2431
27863 lb,2.57,496.0,2432
42015 lb,2.95,539.2,2433
39901 lb,0.93,629.6,2439
37023 lb,1.29,584.0,2443
42025 lb,0.96,560.8,2446
27086 lb,--,425.6,2452
43090 lb,1.55,575.2,2453
26553 lb,1.97,588.0,2466
40711 lb,0.76,536.0,2476
26184 lb,0.6,460.8,2481
34636 lb,0.64,630.4,2485
33331 lb,2.88,597.6,2490
30879 lb,2.35,549.6,2497
41742 lb,2.61,538.4,2514
34435 lb,1.97,628.8,2531
26670 lb,2.94,604.0,2545
33743 lb,1.91,492.8,2546
40813 lb,1.84,473.6,2549
31311 lb,1.39,495.2,2550
43985 lb,1.18,626.4,2567
36602 lb,0.42,534.4,2571
41313 lb,2.36,508.8,2577
40776 lb,--,543.2,2583
34795 lb,--,476.8,2584
44892 lb,1.98,458.4,2592
31922 lb,1.93,510.4,2597
30925 lb,2.76,633.6,2609
36133 lb,1.36,401.6,2610
31483 lb,0.72,480.0,2633
26758 lb,2.07,554.4,2640
37688 lb,--,516.8,2652
33932 lb,--,500.0,2660
44618 lb,0.69,628.0,2666
41829 lb,--,419.2,2673
25394 lb,0.59,426.4,2677
37899 lb,2.62,572.0,2678
41116 lb,2.88,484.0,2683
27700 lb,--,518.4,2684
34248 lb,1.06,620.0,2686
31950 lb,0.68,483.2,2693
39674 lb,2.11,459.2,2705
26752 lb,2.77,515.2,2709
34441 lb,1.37,483.2,2715
34115 lb,1.64,593.6,2725
28157 lb,0.54,508.0,2733
30411 lb,2.76,479.2,2735
26440 lb,1.66,510.4,2737
33841 lb,1.8,516.8,2758
27286 lb,0.46,547.2,2762
27483 lb,1.55,403.2,2768
36703 lb,2.52,604.0,2771
33592 lb,1.95,555.2,2772
36096 lb,1.9,516.0,2775
44348 lb,2.65,463.2,2776
25894 lb,0.42,564.8,2784
25406 lb,2.99,576.0,2787
26091 lb,0.61,458.4,2794
31045 lb,1.02,584.0,2803
42804 lb,1.21,450.4,2805
44444 lb,1.49,403.2,2808
28630 lb,1.76,580.0,2816
40912 lb,1.81,545.6,2819
27081 lb,2.99,436.0,2820
27718 lb,1.52,420.0,2822
44343 lb,2.82,608.8,2823
31786 lb,1.92,625.6,2824
25214 lb,1.1,551.2,2832
42897 lb,2.07,460.0,2837
38496 lb,0.85,600.0,2852
43258 lb,2.7,496.0,2856
30910 lb,--,572.0,2862
40478 lb,2.32,477.6,2869
42424 lb,1.87,580.8,2871
30628 lb,1.71,580.8,2873
39900 lb,1.7,403.2,2875
26605 lb,--,549.6,2880
44149 lb,0.87,464.8,2884
42390 lb,--,562.4,2897
25483 lb,--,512.0,2899
38843 lb,2.26,634.4,2903
42827 lb,2.42,514.4,2910
31171 lb,2.94,639.2,2920
40188 lb,--,556.8,2926
42500 lb,0.88,400.8,2932
44099 lb,2.53,404.0,2942
40318 lb,0.51,485.6,2953
29233 lb,0.69,537.6,2959
42017 lb,1.04,464.0,2960
39061 lb,--,604.8,2961
32683 lb,0.85,508.8,2964
31175 lb,0.82,525.6,2977
42563 lb,2.75,422.4,2978
31374 lb,--,521.6,2981
37797 lb,0.8,588.0,2986
42419 lb,0.77,608.8,2991
41635 lb,0.82,490.4,2994
36124 lb,1.94,621.6,2996
36925 lb,2.08,504.8,2997
36499 lb,2.34,499.2,3005
39611 lb,2.22,545.6,3008
38264 lb,1.62,540.8,3010
28932 lb,0.93,549.6,3011
26388 lb,1.73,527.2,3012
32782 lb,0.89,591.2,3014
25018 lb,2.95,532.8,3019
39392 lb,1.95,566.4,3020
27393 lb,--,560.8,3023
35867 lb,2.43,462.4,3025
33573 lb,0.79,504.0,3040
42950 lb,1.09,607.2,3042
32216 lb,0.52,556.0,3048
27636 lb,2.21,469.6,3050
25758 lb,2.42,465.6,3051
33161 lb,0.5,536.0,3052
33436 lb,2.1,628.8,3057
40471 lb,2.11,600.0,3067
27606 lb,2.42,547.2,3079
29598 lb,1.87,400.8,3083
31661 lb,0.62,556.8,3122
29296 lb,2.81,464.8,3123
28413 lb,1.93,472.8,3128
37416 lb,0.66,585.6,3129
38409 lb,2.06,445.6,3131
42633 lb,0.83,579.2,3137
30317 lb,1.38,524.8,3140
32108 lb,0.65,575.2,3147
30440 lb,1.71,503.2,3148
37850 lb,0.41,416.0,3171
35432 lb,0.65,628.8,3175
35062 lb,2.12,512.8,3187
28582 lb,1.8,492.8,3190
26691 lb,0.49,574.4,3192
26725 lb,1.71,619.2,3193
41699 lb,0.92,504.0,3196
31406 lb,0.82,480.8,3205
30802 lb,1.62,420.0,3206
29552 lb,2.29,442.4,3221
33255 lb,0.6,628.8,3228
26874 lb,1.72,492.0,3236
35361 lb,0.82,559.2,3243
32164 lb,--,556.8,3253
35172 lb,2.19,543.2,3255
34450 lb,1.08,557.6,3257
35160 lb,2.54,577.6,3259
40542 lb,2.79,452.0,3265
29541 lb,2.09,500.0,3267
37201 lb,--,548.8,3272
30554 lb,1.78,460.0,3273
40231 lb,1.16,594.4,3275
40441 lb,2.16,503.2,3287
33966 lb,2.3,568.0,3290
33807 lb,1.24,591.2,3294
36386 lb,1.87,444.0,3298
31859 lb,1.55,569.6,3303
37171 lb,0.69,484.8,3320
35988 lb,0.94,586.4,3331
27861 lb,1.45,504.8,3337
27004 lb,0.87,468.8,3342
34701 lb,2.69,555.2,3343
44292 lb,0.6,563.2,3345
43998 lb,1.46,445.6,3364
38554 lb,0.6,627.2,3382
25279 lb,2.65,510.4,3383
33378 lb,2.0,587.2,3384
30664 lb,1.3,588.0,3387
36381 lb,2.43,480.0,3390
28422 lb,1.92,512.8,3392
31853 lb,2.41,631.2,3393
43335 lb,1.5,555.2,3398
34615 lb,--,588.0,3411
30650 lb,1.91,548.8,3418
40768 lb,1.91,496.8,3420
37281 lb,1.49,442.4,3421
35597 lb,1.7,549.6,3425
33482 lb,0.59,452.0,3429
40452 lb,1.61,488.8,3434
31715 lb,--,427.2,3443
41742 lb,2.66,583.2,3447
35619 lb,1.92,591.2,3448
37761 lb,0.98,626.4,3450
34982 lb,0.77,552.8,3453
38881 lb,--,540.0,3454
25566 lb,--,447.2,3455
33536 lb,2.3,404.8,3463
42472 lb,1.92,552.8,3483
26566 lb,2.55,480.0,3486
30072 lb,1.04,517.6,3491
27761 lb,2.39,484.8,3496
25813 lb,1.84,593.6,3498
28382 lb,0.69,448.8,3501
25522 lb,0.93,637.6,3509
32557 lb,2.25,596.8,3512
40735 lb,1.92,612.0,3518
33020 lb,2.28,545.6,3526
31158 lb,0.77,607.2,3533
35660 lb,1.14,401.6,3536
42536 lb,0.44,494.4,3537
30247 lb,--,574.4,3541
33931 lb,1.88,467.2,3557
36643 lb,1.93,441.6,3559
33218 lb,2.7,478.4,3561
30618 lb,2.35,456.0,3562
37177 lb,--,483.2,3563
30803 lb,2.34,412.0,3566
29452 lb,1.2,470.4,3569
29395 lb,2.82,631.2,3575
43647 lb,2.17,511.2,3578
31867 lb,0.9,541.6,3582
31117 lb,1.64,589.6,3585
32535 lb,--,620.0,3588
25193 lb,2.4,596.0,3589
31755 lb,0.86,436.0,3595
29274 lb,1.86,456.8,3601
42288 lb,0.54,556.8,3606
33213 lb,0.99,494.4,3631
35206 lb,2.97,608.8,3636
35866 lb,1.5,493.6,3642
41037 lb,1.79,563.2,3645
34416 lb,1.71,639.2,3647
29784 lb,--,436.8,3656
37066 lb,2.11,455.2,3665
30704 lb,2.94,426.4,3669
42332 lb,1.5,577.6,3680
35413 lb,2.24,544.8,3684
35218 lb,--,459.2,3686
31279 lb,1.17,480.0,3691
32195 lb,1.41,588.8,3692
32094 lb,0.51,427.2,3693
26337 lb,--,419.2,3695
28763 lb,2.35,638.4,3704
38530 lb,2.96,608.8,3711
26084 lb,2.05,531.2,3713
35375 lb,1.3,431.2,3716
35441 lb,1.06,424.0,3730
32669 lb,2.73,546.4,3739
31682 lb,2.83,560.0,3749
41688 lb,1.3,512.8,3753
41349 lb,--,581.6,3766
29796 lb,2.21,476.0,3768
25369 lb,--,504.0,3797
36883 lb,0.69,540.0,3798
30232 lb,--,615.2,3801
34689 lb,--,613.6,3805
41074 lb,0.83,411.2,3816
30852 lb,--,432.8,3821
30644 lb,0.5,496.8,3829
42908 lb,2.57,554.4,3836
44095 lb,2.88,611.2,3841
35754 lb,1.27,419.2,3845
31140 lb,--,635.2,3846
42214 lb,2.88,454.4,3852
26671 lb,2.47,437.6,3854
39292 lb,0.81,412.0,3859
40703 lb,2.98,452.8,3860
30290 lb,--,499.2,3862
39881 lb,--,578.4,3871
39417 lb,1.65,526.4,3874
25809 lb,1.47,554.4,3880
39695 lb,0.7,444.8,3884
32113 lb,1.39,516.0,3890
32519 lb,2.59,521.6,3903
42018 lb,1.86,616.0,3910
31404 lb,1.57,544.8,3914
33640 lb,0.52,595.2,3918
33805 lb,1.25,520.0,3927
29052 lb,2.74,508.0,3928
40904 lb,0.41,592.8,3931
41790 lb,1.77,573.6,3932
38595 lb,0.83,571.2,3938
43687 lb,0.61,434.4,3944
35402 lb,2.42,448.0,3947
26134 lb,2.04,522.4,3949
36501 lb,--,484.8,3957
30582 lb,1.34,468.0,3963
39932 lb,2.93,570.4,3967
43249 lb,1.32,478.4,3973
33189 lb,2.45,520.8,3976
39141 lb,0.74,632.0,3977
25672 lb,1.72,413.6,3978
25553 lb,1.28,540.8,3981
25555 lb,1.42,508.0,3987
25987 lb,1.99,456.0,3997
44047 lb,2.32,484.0,4003
30990 lb,2.63,544.8,4010
26790 lb,1.24,420.0,4014
31082 lb,0.58,513.6,4022
43278 lb,1.79,549.6,4029
39928 lb,1.04,624.8,4035
32971 lb,0.55,469.6,4054
44224 lb,--,574.4,4055
41602 lb,2.73,516.0,4059
44726 lb,2.35,406.4,4065
40189 lb,2.48,572.8,4077
36809 lb,2.18,554.4,4079
37738 lb,2.74,408.0,4088
44652 lb,2.87,480.0,4099
26664 lb,2.74,628.0,4101
33154 lb,2.56,586.4,4107
31074 lb,1.02,459.2,4124
25761 lb,1.78,510.4,4125
27534 lb,0.85,473.6,4131
34675 lb,2.21,539.2,4139
43968 lb,2.51,628.0,4148
26874 lb,--,626.4,4151
25096 lb,0.42,491.2,4155
32325 lb,--,627.2,4156
39192 lb,0.43,560.0,4162
41126 lb,2.83,640.0,4168
33005 lb,--,478.4,4172
26402 lb,--,460.0,4176
38103 lb,--,618.4,4183
31881 lb,2.85,609.6,4194
32770 lb,1.24,572.8,4201
33341 lb,2.32,400.0,4204
44012 lb,2.53,592.0,4207
41757 lb,2.64,596.0,4211
28273 lb,0.42,474.4,4212
31444 lb,2.43,556.8,4225
33711 lb,2.88,621.6,4229
25079 lb,1.91,572.0,4231
40607 lb,2.19,584.8,4232
27313 lb,1.53,512.0,4240
32270 lb,2.71,453.6,4241
41742 lb,0.73,448.0,4259
35126 lb,--,523.2,4260
40193 lb,1.3,539.2,4263
38452 lb,2.0,593.6,4266
42467 lb,--,580.8,4273
28580 lb,0.72,545.6,4276
28538 lb,1.1,596.8,4277
26018 lb,2.15,604.8,4289
42178 lb,1.69,458.4,4291
44107 lb,--,499.2,4298
40590 lb,2.75,626.4,4304
41105 lb,1.42,596.0,4305
36784 lb,2.53,480.8,4312
35686 lb,0.89,428.8,4315
37994 lb,2.87,544.8,4316
27300 lb,1.01,405.6,4318
41691 lb,--,423.2,4319
41923 lb,1.36,593.6,4320
36402 lb,2.52,577.6,4321
35310 lb,1.75,581.6,4324
39957 lb,1.72,474.4,4326
43619 lb,1.42,532.0,4340
44312 lb,1.63,603.2,4341
34962 lb,1.41,576.8,4343
39355 lb,0.4,436.8,4345
41164 lb,--,512.0,4355
25848 lb,2.94,601.6,4361
37332 lb,1.28,583.2,4368
28850 lb,--,485.6,4393
42938 lb,--,508.8,4394
26788 lb,2.31,635.2,4395
39682 lb,2.2,514.4,4398
38863 lb,2.25,596.8,4412
31728 lb,1.09,603.2,4420
26596 lb,2.02,517.6,4421
43331 lb,2.07,569.6,4424
37553 lb,1.77,620.8,4426
42753 lb,0.97,629.6,4433
43679 lb,2.94,592.8,4434
37036 lb,1.21,462.4,4449
35720 lb,--,516.8,4450
34860 lb,2.32,457.6,4451
39782 lb,1.04,425.6,4452
40109 lb,0.96,419.2,4456
40187 lb,--,481.6,4473
30284 lb,3.0,513.6,4474
39247 lb,1.02,534.4,4476
42940 lb,1.06,408.8,4480
30735 lb,2.01,496.8,4483
34728 lb,0.65,493.6,4484
29958 lb,1.05,572.8,4498
41610 lb,1.31,622.4,4502
26918 lb,1.85,572.0,4512
38892 lb,2.42,596.0,4517
29170 lb,1.25,586.4,4524
35301 lb,0.9,608.8,4529
44601 lb,--,625.6,4535
39122 lb,--,520.0,4546
28520 lb,--,567.2,4550
43394 lb,1.96,432.8,4551
41878 lb,2.24,589.6,4552
33210 lb,2.31,480.0,4554
35664 lb,0.78,488.8,4561
30994 lb,0.41,540.0,4567
43271 lb,1.56,457.6,4569
43136 lb,0.71,511.2,4580
27031 lb,2.58,636.0,4592
32433 lb,1.08,589.6,4593
42046 lb,0.9,517.6,4595
40128 lb,1.32,544.0,4598
34129 lb,1.51,454.4,4604
40463 lb,0.56,448.8,4607
39857 lb,1.91,627.2,4614
40060 lb,0.91,608.8,4615
43862 lb,2.4,556.0,4621
40998 lb,0.93,546.4,4638
32446 lb,2.06,580.8,4641
37840 lb,1.43,533.6,4643
37115 lb,1.4,526.4,4646
27788 lb,2.01,615.2,4653
36271 lb,1.91,564.8,4665
39451 lb,--,438.4,4667
44516 lb,1.29,478.4,4671
40873 lb,--,482.4,4677
37662 lb,1.09,555.2,4680
25252 lb,--,509.6,4682
31393 lb,--,599.2,4683
40171 lb,1.7,630.4,4684
30651 lb,2.03,497.6,4685
43020 lb,2.46,529.6,4690
26309 lb,1.15,501.6,4697
29140 lb,2.8,569.6,4699
32687 lb,0.79,482.4,4713
25687 lb,--,418.4,4722
36942 lb,0.8,538.4,4729
36372 lb,1.56,584.8,4732
37520 lb,1.54,456.0,4739
38268 lb,1.1,447.2,4741
29257 lb,1.84,443.2,4747
44815 lb,2.33,433.6,4759
34903 lb,2.63,620.8,4769
29907 lb,2.98,429.6,4773
42039 lb,2.5,458.4,4775
41465 lb,2.83,514.4,4776
27408 lb,2.58,572.8,4777
39031 lb,2.73,506.4,4799
30033 lb,2.6,560.8,4800
27661 lb,2.62,415.2,4802
26763 lb,1.58,572.8,4805
30206 lb,2.64,409.6,4807
34598 lb,2.59,452.0,4811
44425 lb,2.05,488.8,4815
25094 lb,--,405.6,4824
36566 lb,1.78,609.6,4825
39774 lb,2.46,539.2,4831
29852 lb,--,567.2,4838
32389 lb,0.94,522.4,4840
29622 lb,1.84,630.4,4851
36268 lb,0.79,420.8,4867
31950 lb,2.63,502.4,4873
26081 lb,1.6,589.6,4879
33565 lb,1.61,541.6,4887
41677 lb,1.53,412.0,4905
34551 lb,2.67,495.2,4920
41182 lb,2.28,554.4,4921
25220 lb,0.44,584.0,4923
32721 lb,1.04,540.8,4925
43741 lb,--,564.8,4926
30226 lb,1.53,452.8,4939
28776 lb,0.53,577.6,4943
29818 lb,--,566.4,4958
39763 lb,0.94,443.2,4961
44596 lb,0.6,583.2,4962
27951 lb,1.08,462.4,4964
35967 lb,1.4,619.2,4969
32014 lb,--,513.6,4970
32624 lb,2.94,527.2,4993
36472 lb,0.69,612.0,4995
31096 lb,--,555.2,4997
35620 lb,2.0,634.4,5000
31476 lb,1.4,636.0,5004
40095 lb,2.94,508.8,5009
29665 lb,2.57,536.8,5018
32208 lb,0.58,489.6,5028
27144 lb,0.76,506.4,5029
44801 lb,2.71,594.4,5030
38908 lb,2.56,495.2,5032
25526 lb,1.62,423.2,5037
44445 lb,1.09,492.0,5052
42469 lb,1.58,524.8,5056
36834 lb,1.44,553.6,5065
27555 lb,2.06,563.2,5066
44030 lb,1.79,443.2,5067
25183 lb,1.37,616.0,5070
30927 lb,1.34,400.8,5072
37347 lb,0.49,580.0,5074
31597 lb,--,631.2,5078
34898 lb,1.82,577.6,5090
38297 lb,2.59,425.6,5093
35425 lb,2.6,464.8,5096
42929 lb,2.05,512.0,5101
37239 lb,2.58,631.2,5106
29132 lb,2.6,404.8,5113
43134 lb,1.58,497.6,5137
35491 lb,1.04,628.0,5139
25956 lb,2.44,485.6,5144
37890 lb,2.17,549.6,5147
30143 lb,--,598.4,5150
25206 lb,1.33,528.0,5162
34041 lb,--,622.4,5174
41389 lb,1.66,614.4,5175
26093 lb,2.03,621.6,5176
26213 lb,2.59,632.8,5186
33389 lb,2.95,596.0,5195
38219 lb,1.48,422.4,5198
34370 lb,0.93,630.4,5205
25071 lb,2.26,570.4,5213
29372 lb,0.94,614.4,5216
33931 lb,2.38,487.2,5218
32640 lb,--,446.4,5243
31767 lb,1.06,447.2,5250
37383 lb,2.54,422.4,5252
31248 lb,2.84,559.2,5254
39195 lb,0.5,610.4,5261
38009 lb,2.95,514.4,5265
35941 lb,2.39,400.8,5270
42695 lb,1.73,439.2,5277
37766 lb,--,596.8,5279
25704 lb,1.87,614.4,5309
35105 lb,--,635.2,5310
36845 lb,1.54,494.4,5311
32320 lb,1.24,610.4,5313
37333 lb,0.43,577.6,5321
42687 lb,--,596.8,5330
43799 lb,1.38,464.8,5338
31044 lb,2.98,513.6,5343
27493 lb,1.22,610.4,5349
29358 lb,1.35,600.8,5363
32813 lb,1.46,631.2,5372
28595 lb,2.67,447.2,5379
42645 lb,2.34,596.0,5382
36610 lb,0.75,493.6,5387
25721 lb,2.34,580.0,5389
44742 lb,2.46,552.0,5392
42110 lb,1.26,583.2,5395
39442 lb,1.3,429.6,5407
32061 lb,2.92,597.6,5409
32044 lb,--,462.4,5413
34156 lb,1.86,491.2,5414
40882 lb,2.69,543.2,5415
43084 lb,1.72,451.2,5431
36835 lb,0.77,574.4,5438
25763 lb,2.71,613.6,5439
42361 lb,1.09,488.0,5440
40435 lb,2.52,613.6,5443
40154 lb,1.86,448.8,5444
39316 lb,0.48,620.0,5447
44736 lb,1.7,480.0,5450
31561 lb,1.57,452.8,5452
43224 lb,2.01,508.8,5465
32282 lb,1.87,604.0,5466
28564 lb,1.44,570.4,5469
44374 lb,--,616.0,5471
25322 lb,2.65,429.6,5473
28946 lb,2.81,413.6,5475
37084 lb,2.49,552.8,5481
38338 lb,1.14,480.0,5483
37652 lb,1.51,420.8,5503
32094 lb,2.99,417.6,5509
25090 lb,2.19,589.6,5510
31881 lb,2.87,415.2,5511
42873 lb,2.48,601.6,5514
33679 lb,0.42,532.0,5522
41273 lb,2.26,481.6,5524
38882 lb,--,463.2,5526
25158 lb,1.66,565.6,5527
25588 lb,0.8,458.4,5532
34999 lb,2.46,609.6,5536
28484 lb,1.35,606.4,5541
43874 lb,--,473.6,5547
30317 lb,--,600.8,5551
26993 lb,--,638.4,5562
44404 lb,--,587.2,5566
44376 lb,--,628.0,5571
35957 lb,1.92,538.4,5572
